"","content_id","content_type","category","reaction_type","date_time","sentiment","score","date","month","year"
"1","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","disgust",2020-11-07 09:43:00,"negative",0,"11/07/2020","11","2020"
"2","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","dislike",2021-06-17 12:22:00,"negative",10,"06/17/2021","06","2021"
"3","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","scared",2021-04-18 05:13:00,"negative",15,"04/18/2021","04","2021"
"4","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","disgust",2021-01-06 19:13:00,"negative",0,"01/06/2021","01","2021"
"5","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","interested",2020-08-23 12:25:00,"positive",30,"08/23/2020","08","2020"
"6","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","peeking",2020-12-07 06:27:00,"neutral",35,"12/07/2020","12","2020"
"7","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","cherish",2021-04-11 17:35:00,"positive",70,"04/11/2021","04","2021"
"8","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","hate",2021-01-27 08:32:00,"negative",5,"01/27/2021","01","2021"
"9","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","peeking",2021-04-01 22:54:00,"neutral",35,"04/01/2021","04","2021"
"10","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","love",2020-08-04 05:05:00,"positive",65,"08/04/2020","08","2020"
"11","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","indifferent",2020-11-07 08:36:00,"neutral",20,"11/07/2020","11","2020"
"12","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","scared",2020-11-02 06:28:00,"negative",15,"11/02/2020","11","2020"
"13","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","interested",2020-11-01 01:16:00,"positive",30,"11/01/2020","11","2020"
"14","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","hate",2020-10-07 18:39:00,"negative",5,"10/07/2020","10","2020"
"15","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","scared",2020-09-03 18:51:00,"negative",15,"09/03/2020","09","2020"
"16","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","super love",2021-02-24 05:09:00,"positive",75,"02/24/2021","02","2021"
"17","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","peeking",2020-09-23 06:24:00,"neutral",35,"09/23/2020","09","2020"
"18","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","indifferent",2021-02-24 11:37:00,"neutral",20,"02/24/2021","02","2021"
"19","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","interested",2021-05-22 19:44:00,"positive",30,"05/22/2021","05","2021"
"20","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","intrigued",2021-01-31 16:03:00,"positive",45,"01/31/2021","01","2021"
"21","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","peeking",2020-11-20 17:26:00,"neutral",35,"11/20/2020","11","2020"
"22","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","worried",2021-04-11 20:47:00,"negative",12,"04/11/2021","04","2021"
"23","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","like",2021-06-13 16:46:00,"positive",50,"06/13/2021","06","2021"
"24","97522e57-d9ab-4bd6-97bf-c24d952602d2","photo","studying","heart",2021-04-11 14:29:00,"positive",60,"04/11/2021","04","2021"
